TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
117, RACECOURSE ROAD btwn WELLINGTON STREET & STUBBS STREET,MOONEE VALLEY,15000,807.0,0.06,-37.788504700000004,144.9337531, Kensington , 3031
120, MELBOURNE ROAD btwn DUNN STREET & MELBOURNE ROAD,GEELONG,4500,705.0,0.19,-38.111345799999995,144.35303169999997, North Geelong , 3215
1621,SOUTHERN LINK TOLLWAY BTWN PUNT RD & BURNLEY RD,YARRA,16000,1500.0,0.11,-37.8334179,144.9992354, Richmond , 3121
1845,WESTERN LINK TOLLWAY BTWN DYNON RD & RACECOURSE RD,MELBOURNE,61000,7700.0,0.15,-37.7967222,144.93620969999998, North Melbourne , 3051
1095, LOCH VALLEY ROAD btwn GUNNS ROAD & BENNETT STREET,BAW BAW,126,17.0,0.17,-37.868658700000005,146.0096991, Noojee , 3833
1649, TATONG-TOLMIE ROAD btwn BENALLA-TATONG ROAD & MANSFIELD-WHITFIELD ROAD,BENALLA,6,1.0,0.17,-36.83233320000001,146.1673242, Tatong , 3673
1858, MT VICTORY ROAD btwn SILVERBAND ROAD & UNNAMED,NORTHERN GRAMPIANS,183,14.0,0.09,-37.146784999999994,142.4970356, Halls Gap , 3381
1858, MT VICTORY ROAD btwn SILVERBAND ROAD & UNNAMED,NORTHERN GRAMPIANS,183,14.0,0.09,-37.146784999999994,142.4970356, Halls Gap , 3381
1641, MYRTLE STREET btwn STANDISH STREET & PRINCE STREET,ALPINE,3400,270.0,0.1,-36.5595847,146.72190030000002, Myrtleford , 3737
1646, GREAT ALPINE ROAD btwn BILTON STREET & RODGERS STREET,EAST GIPPSLAND,138,7.0,0.06,-37.0970605,147.59504009999998, Omeo , 3898
1646, GREAT ALPINE ROAD btwn BILTON STREET & RODGERS STREET,EAST GIPPSLAND,138,7.0,0.06,-37.0970605,147.59504009999998, Omeo , 3898
1863, GREAT ALPINE ROAD btwn STACKEY GULLY ROAD & GREAT ALPINE ROAD,ALPINE,1600,89.0,0.07,-36.711729299999995,146.92747930000002, Porepunkah , 3740
522, COMMERCIAL STREET btwn WEBB STREET & WESTERN HIGHWAY,WEST WIMMERA,2100,740.0,0.43,-36.380978000000006,141.2540687, Kaniva , 3419
88, PRINCES HIGHWAY WEST btwn PRINCES HIGHWAY WEST Start & ASCOT STREET,GLENELG,1100,329.0,0.38,-37.899337,141.12101819999998, Mumbannar , 3304
88, PRINCES HIGHWAY WEST btwn PRINCES HIGHWAY WEST Start & ASCOT STREET,GLENELG,1100,329.0,0.38,-37.899337,141.12101819999998, Mumbannar , 3304
144, WESTERN HIGHWAY btwn BORUNG HIGHWAY & HORSHAM ROAD,HINDMARSH,1900,541.0,0.35,-36.4536322,142.0526844, Dimboola , 3414
584, PUNT ROAD btwn TOORAK ROAD & COMMERCIAL ROAD,STONNINGTON,18000,379.0,0.02,-37.8420049,144.9857774, South Yarra , 3141
39, STUD ROAD btwn FERNTREE GULLY ROAD & KELLETTS ROAD,KNOX,20000,1100.0,0.06,-37.9043192,145.2368387, Knoxfield , 3180
590, STUD ROAD btwn HEATHERTON ROAD & DAVID STREET,DANDENONG,16000,768.0,0.05,-37.9743711,145.22284530000002, Dandenong , 3175
255, ALEXANDRA AVENUE btwn LINLITHGOW AVENUE & STURT STREET,MELBOURNE,24000,980.0,0.05,-37.8211536,144.9716997, Melbourne , 3004
260, WELLINGTON ROAD btwn MONASH FREEWAY Onramp & MONASH FREEWAY Offramp,MONASH,26000,1300.0,0.06,-37.920606799999995,145.1762237, Mulgrave , 3170
618, BELL STREET btwn SYMOND STREET & MELBA HIGHWAY,YARRA RANGES,3700,422.0,0.13,-37.656355100000006,145.3748426, Yarra Glen , 3775
621, SOUTH GIPPSLAND FREEWAY btwn SOUTH GIPPSLAND FREEWAY Onramp & SOUTH GIPPSLAND FREEWAY Offramp,CASEY,44000,3000.0,0.08,-38.014666999999996,145.2497975, Hampton Park , 3976
460, BELL STREET btwn MELVILLE ROAD & SUSSEX STREET,MORELAND,20000,1100.0,0.06,-37.7393589,144.9470892, Pascoe Vale South , 3044
213, WARRIGAL ROAD btwn WAVERLEY ROAD & MONASH FREEWAY Offramp,STONNINGTON,19000,1100.0,0.07,-37.8813437,145.0905783, Chadstone , 3148
19, MAINDAMPLE-BENALLA ROAD btwn MIDLAND HIGHWAY & MAROONDAH HIGHWAY,MANSFIELD,474,108.0,0.28,-36.993160499999995,145.9794506, Maindample , 3723
401, NORTH ROAD btwn NEPEAN HIGHWAY & KOOYONG ROAD,GLEN EIRA,18000,944.0,0.06,-37.90017279999999,145.00927190000002, Brighton East , 3187
2250, HENDY MAIN ROAD btwn CAPE OTWAY ROAD & ANGLESEA ROAD,SURF COAST,763,67.0,0.11,-38.295169200000004,144.1934615, Paraparap , 3240
1725, BIRREGURRA ROAD btwn PRINCES HIGHWAY WEST & MAIN STREET,COLAC OTWAY,259,39.0,0.18,-38.3134472,143.7926274, Birregurra , 3242
1352, BEECH FOREST ROAD btwn MAIN STREET & BEECH FOREST-LAVERS HILL ROAD,COLAC OTWAY,562,51.0,0.11,-38.5044129,143.5522625, Kawarren , 3249
1356, TONE ROAD btwn GRETA ROAD & TONE ROAD,WANGARATTA,6200,457.0,0.09,-36.3598189,146.3127314, Wangaratta , 3677
1729, GRANGE ROAD btwn LOYOLA GROVE & ALEXANDRA AVENUE,STONNINGTON,16000,256.0,0.02,-37.830593,145.0126395, Toorak , 3142
1360, CURZON STREET btwn HARKER STREET & ARDEN STREET,MELBOURNE,5600,350.0,0.07,-37.7995425,144.9487349, North Melbourne , 3051
1732, COBDEN-TERANG ROAD btwn HIGH STREET & CEMETERY ROAD,CORANGAMITE,332,50.0,0.18,-38.2450195,142.9181105, Terang , 3264
1735, LAVERS HILL-COBDEN ROAD btwn COBDEN-PORT CAMPBELL ROAD & TIMBOON-COLAC ROAD,CORANGAMITE,485,76.0,0.19,-38.3821078,143.13269409999998, Jancourt East , 3266
1738, COBDEN-PORT CAMPBELL ROAD btwn COBDEN-SCOTTS CREEK ROAD & TIMBOON-COLAC ROAD,CORANGAMITE,381,49.0,0.16,-38.3980241,143.0838106, Jancourt East , 3266
1740, DYNON ROAD btwn WESTERN LINK TOLLWAY Onramp & WESTERN LINK TOLLWAY,MELBOURNE,12000,1300.0,0.12,-37.8043837,144.93438740000002, West Melbourne , 3003
1370, BARRETT STREET btwn TIMBOON-SCOTTS CREEK ROAD & BAILEY STREET,CORANGAMITE,324,43.0,0.16,-38.4799424,142.9765334, Timboon , 3268
1371, DUDLEY STREET btwn ADDERLEY STREET & SPENCER STREET,MELBOURNE,15000,956.0,0.07,-37.8105442,144.9489066, Docklands , 3008
1939, KING STREET btwn BOURKE STREET & COLLINS STREET,MELBOURNE,19000,1200.0,0.07,-37.8173713,144.95617819999998, Melbourne , 3000
1373, DERRIMUT ROAD btwn DOHERTYS ROAD & SAYERS ROAD,WYNDHAM,9700,1000.0,0.12,-37.834165399999996,144.69110590000003, Tarneit , 3029
1280, WESTERN RING RD BTWN TULLAMARINE FREEWAY & COBURG-CRAIGIEBURN ROAD,MORELAND,75000,8500.0,0.13,-37.6939476,144.9310428, Broadmeadows , 3047
