POSTCODE,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS
3842,30700,2009.0,0.081
3844,278635,27212.0,0.129
3847,69073,9497.0,0.184
3850,104200,9169.0,0.106
3851,57015,6956.0,0.148
3854,17300,1606.0,0.118
3856,4000,507.0,0.16
3857,2200,207.0,0.12
3858,10198,940.0,0.158
3859,6239,879.0,0.178
3860,20686,2152.0,0.118
3862,44429,6534.0,0.174
3869,5400,493.0,0.115
3870,3961,350.0,0.152
3871,26119,2941.0,0.143
3873,7000,725.0,0.134
3874,2629,369.0,0.152
3875,234221,18936.0,0.105
3878,6500,321.0,0.06
3880,5300,292.0,0.065
3882,7800,569.0,0.085
3885,14198,1691.0,0.177
3887,4135,603.0,0.18
3888,32851,5211.0,0.204
3889,3117,647.0,0.228
3890,6651,1585.0,0.345
3891,2534,287.0,0.144
3892,1788,164.0,0.108
3895,925,142.0,0.19
3898,2549,328.0,0.151
3900,29,6.0,0.205
3903,9300,541.0,0.07
3904,4489,249.0,0.073
3909,13427,1584.0,0.175
3910,337200,22815.0,0.075
3911,285500,22039.0,0.08
3912,163000,13503.0,0.092
3913,127400,15430.0,0.125
3915,287852,22066.0,0.08
3916,58938,3748.0,0.077
3918,122404,8061.0,0.076
3919,37200,1916.0,0.058
3922,93311,8624.0,0.112
3923,8542,640.0,0.09
3925,37300,3435.0,0.113
3926,145112,9603.0,0.078
3927,74799,4451.0,0.07
3928,24703,1556.0,0.074
3929,4414,368.0,0.1
3930,190600,11703.0,0.071
3931,221200,12604.0,0.073
3933,440895,33810.0,0.08
3934,251000,19192.0,0.083
3936,317747,24748.0,0.086
3937,36782,2466.0,0.079
3938,46400,3242.0,0.075
3939,173900,13202.0,0.083
3940,48800,4226.0,0.103
3941,61000,4832.0,0.079
3942,12100,722.0,0.07
3943,59900,4412.0,0.086
3944,54300,3668.0,0.081
3945,6300,1206.0,0.23
3950,57700,6598.0,0.135
3951,1804,83.0,0.055
3953,117313,12115.0,0.13
3954,6400,1104.0,0.215
3956,36441,4268.0,0.149
3957,2800,414.0,0.185
3958,1387,182.0,0.16
3959,6021,645.0,0.134
3960,21795,1820.0,0.107
3962,4677,644.0,0.188
3965,540,91.0,0.21
3966,7808,1601.0,0.223
3967,1592,342.0,0.265
3971,42564,4039.0,0.14
3975,288000,19423.0,0.085
3976,291800,20677.0,0.082
3977,856200,62898.0,0.093
3978,34200,4927.0,0.155
3980,39700,4537.0,0.122
3981,105117,16562.0,0.177
3984,93167,12663.0,0.162
3987,1673,212.0,0.158
3988,6413,760.0,0.145
3991,4600,388.0,0.1
3995,78065,5251.0,0.087
3996,36252,3023.0,0.106
